name,location,cost,image1,image2,image3,number
Prodej bytu 2+kk 62 m²,"Týmlova, Praha 4 - Michle",8 990 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/ytvMpA.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QO_K8/aDcMuP.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_J9/IvxBgrs.jpeg?fl=res,400,300,3|shr,,20|jpg,90",162
Prodej bytu 3+1 90 m²,"Smetanovo nábřeží, Praha 1 - Staré Město",19 900 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QN_KA/6U2YMl.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QO_K2/lYPB7b1.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Kd/okNBWDU.jpeg?fl=res,400,300,3|shr,,20|jpg,90",163
Prodej bytu 2+kk 38 m²,"Čenětická, Praha 4 - Chodov",4 990 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QP_K8/EOiCfd.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QN_J9/KPxBc18.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QN_J9/S9wBc19.jpeg?fl=res,400,300,3|shr,,20|jpg,90",164
Prodej bytu 4+kk 100 m²,"Žitomírská, Praha 10 - Vršovice",11 990 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QI_Jo/alAMvW.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QO_K8/lcbMsY.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QI_Jk/LUfovW.jpeg?fl=res,400,300,3|shr,,20|jpg,90",165
Prodej bytu 2+kk 59 m²,"Stočesova, Praha",2 490 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QM_Ko/RhCBLKO.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Ko/s90BLKP.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_J9/WCfBLH1.jpeg?fl=res,400,300,3|shr,,20|jpg,90",166
Prodej bytu 2+kk 46 m²,"Olgy Havlové, Praha 3 - Žižkov",6 790 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_gZ_i/GD9BBZY.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_gW_g/ZCrBBqq.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_gQ_h/3eiBBwr.jpeg?fl=res,400,300,3|shr,,20|jpg,90",167
Prodej bytu 3+kk 88 m²,"Pod Harfou, Praha 9 - Vysočany",8 990 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QK_Jt/OT7RQh.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QK_Jt/rXiRQi.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QR_ML/nJARHX.jpeg?fl=res,400,300,3|shr,,20|jpg,90",168
Prodej bytu 3+kk 68 m²,"U Sluncové, Praha 8 - Karlín",6 700 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QL_J9/rgpBzlg.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QJ_Jt/TGNBzak.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QP_LH/lWqBzT4.jpeg?fl=res,400,300,3|shr,,20|jpg,90",169
Prodej bytu 2+1 42 m²,"Zelenohorská, Plzeň - Hradiště",3 459 720 Kč,"https://d18-a.sdn.cz/d_18/c_img_QM_Ko/oqsCAc1.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QO_K7/cqeCAVo.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QN_KD/Oh8CAbw.jpeg?fl=res,400,300,3|shr,,20|jpg,90",170
Prodej bytu 2+kk 40 m²,"Okružní, Most",969 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QM_Ko/Vs8BYNF.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QI_Jn/SmkBYC5.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QP_LH/MQmBX8e.jpeg?fl=res,400,300,3|shr,,20|jpg,90",171
